Designator,Name,Value,Amount,Case,Link
"X1,X2,X3",Connector,SSW-102-02-G-D-RA,3,,https://no.mouser.com/ProductDetail/SSW-102-02-G-D-RA
X4,Connector,TSW-104-07-F-S,1,,https://no.mouser.com/ProductDetail/200-TSW10407FS
"D1,D2,D2",Schottky Diode,RB161MM-20TR,3,,https://no.mouser.com/ProductDetail/755-RB161MM-20TR
